designator,type,upper,lower,name,id,2019,2024
PAZA,FIR,,0.0,Alaska FIR,c0568f8f,1.6451838062012571,2.197199342134293
RCAA,FIR,,0.0,Taipei FIR,176aac98,0.0955627008545744,0.1252000511651388
RJJJ,FIR,,0.0,Fukuoka FIR,4dc25816,1.1760548273442777,1.9213870546811505
RKRR,FIR,,0.0,Incheon FIR,254db348,0.066340863196466,0.071704585721606
RPHI,FIR,,0.0,Manila FIR,ddc72f1d,0.489486682881908,0.4675420128302964
SACF,FIR,,0.0,Cordoba FIR,5ba05006,0.0167887651366071,0.0158401250559516
SAEF,FIR,,0.0,Ezeiza FIR,52eba7b3,0.037827442448828,0.0476692688919493
SAMF,FIR,,0.0,Mendoza FIR,e8d0d255,0.0055167501207351,0.0031075090149051
SARR,FIR,,0.0,Resistencia FIR,36d60cb2,0.0145876588061075,0.0127515841029751
SAVF,FIR,,0.0,Comodoro Rivadavia FIR,f118068e,0.0259536880037892,0.0247630534976192
SBAO,FIR,,0.0,Atlantico FIR,085661bb,0.1818029299565315,0.1992220891661521
SBAZ,FIR,,0.0,Amazonica FIR,9f1bdf68,0.3386110383235481,0.351860559789979
SBBS,FIR,,0.0,Brasilia FIR,20c3b3a8,0.1375378660438554,0.2005118494397355
SBCW,FIR,,0.0,Curitiba FIR,0280d3e5,0.1401286119624904,0.1266842901350715
SBRE,FIR,,0.0,Recife FIR,f39ec67d,0.2290049067204017,0.289882475902365
SCCZ,FIR,,0.0,Punta Arenas FIR,c05978f4,0.0183377025893664,0.0138602657258866
SCEZ,FIR,,0.0,Santiago FIR,ccfb5a19,0.0094116212111097,0.0048375762942613
SCFZ,FIR,,0.0,Antofagasta FIR,a49e230e,0.0340219436998726,0.0409243948177924
SCIZ,FIR,,0.0,Isla De Pascua FIR,aa07b8d5,0.0419756248585759,0.0502154398663967
SCTZ,FIR,,0.0,Puerto Montt FIR,fd758a8a,0.0089036329975164,0.0076490226250727
SEFG,FIR,,0.0,Guayaquil FIR/UIR,a1951387,0.0382234784788706,0.0479379691167595
SGFA,FIR,,0.0,Asuncion FIR/UIR,cb4b6cb9,0.0091426990126806,0.0070646310214396
SKEC,FIR,,0.0,Barranquilla FIR,0b840069,0.0971017547793931,0.1362755274106491
SKED,FIR,,0.0,Bogota FIR,48b537be,0.1389662229083266,0.2473264559218188
SLLF,FIR,,0.0,La Paz FIR,4c3a0284,0.0480970258645769,0.0443463549533595
SMPM,FIR,,0.0,Paramaribo FIR,9dc84571,0.0151736632350258,0.011512874256467
SOOO,FIR,245.0,0.0,Cayenne FIR,73be025a,0.0146138210372755,0.024121399153512
SOOO,UIR,,245.0,Cayenne UIR,9ee24a88,0.0146138210372755,0.024121399153512
SPIM,FIR,,0.0,Lima FIR,cfd088dd,0.1676434046735844,0.1932034846147833
SUEO,FIR,,0.0,Montevideo FIR,5a1f79c0,0.0286862888984399,0.0252386454415578
SVZM,FIR,,0.0,Maiquetia FIR,631c92e4,0.0983361735452802,0.1740050677810766
SYGC,FIR,,0.0,Georgetown FIR,09742ed7,0.0225850959292517,0.0265366764729866
TJZS,FIR,,0.0,San Juan Oceanic FIR/UIR,af661933,0.0795398204871415,0.0966355917702132
TNCF,FIR,195.0,0.0,Curacao FIR,fdd0a1c2,0.0471591172598827,0.0406737192415758
TNCF,UIR,,195.0,Curacao UIR,1281d0ca,0.0471591172598827,0.0406737192415758
TTZP,FIR,245.0,0.0,Piarco FIR,6ab4fde6,0.1121385707217575,0.1541459689772015
TTZP,UIR,,245.0,Piarco UIR,282c8470,0.1121385707217575,0.1541459689772015
UAAA,FIR,,0.0,Almaty FIR,2a43e11c,0.4549080585595182,0.7444913234969945
UACN,FIR,,0.0,Nur-Sultan FIR,74ad1efb,1.223838211142323,0.9180896323456366
UAII,FIR,,0.0,Shymkent FIR,b648783f,0.2389695911738504,0.4273876320558726
UATT,FIR,,0.0,Aktobe FIR,4c7ed6e4,1.099753344787031,1.1323853395264911
UBBA,FIR,,0.0,Baku FIR,663141f2,0.0942813642229184,0.2107965654988509
UCFM,FIR,,0.0,Bishkek FIR,7ef434d9,0.0276627326659393,0.0705951743485456
UCFO,FIR,,0.0,Osh FIR,33f2e42b,0.0229591802066899,0.0580137073698244
UDDD,FIR,,0.0,Yerevan FIR,84dcbaab,0.0213808344110788,0.0309689787847832
UEEE,FIR,,0.0,Yakutsk FIR,bf601f82,0.7464247115825434,0.2141479340026776
UGGG,FIR,195.0,0.0,Tibilisi FIR,58afadb7,0.1470835684611808,0.2693887637392359
UGGG,UIR,,195.0,Tibilisi UIR,e4c5bccd,0.1470835684611808,0.2693887637392359
UHHH,FIR,,0.0,Khabarovsk FIR,7008c520,0.4175051792908801,0.091249441838161
UHMM,FIR,,0.0,Magadan FIR,2f985d35,0.7371464093765453,0.325403235978733
UHPP,FIR,,0.0,Petropavlovsk-Kamchatsky FIR,19f01f39,0.3414924457612279,0.5799039625636713
UIII,FIR,,0.0,Irkutsk FIR,d7979d28,0.7753874110559046,0.3556214038098038
UKBV,FIR,275.0,0.0,Kiev FIR,2411b069,0.3315617027057778,0.298096531145269
UKBV,UIR,,275.0,Kiev UIR,1d361b1b,1.4971945482619595,1.4762522508912412
UKDV,FIR,275.0,0.0,Dnipro FIR,35a65213,0.1984229973109144,0.1114862111088513
UKFV,FIR,275.0,0.0,Simferopol FIR,6cfc460a,0.3595564419459062,0.4339932296818493
UKLV,FIR,275.0,0.0,Lvov FIR,3e1d55fd,0.4325515807648877,0.4496266733788508
UKOV,FIR,275.0,0.0,Odessa FIR,653b334a,0.1751018255344736,0.1830496055764208
ULAA,FIR,,0.0,Arkhangelsk FIR,663361f4,0.4472492378524019,0.3032607901964258
ULKK,FIR,,0.0,Kotlas FIR,0cad72ac,0.1983178828625491,0.1426847756645821
ULLL,FIR,,0.0,Sankt-Peterburg FIR,30a5e659,0.9622405611380116,0.5116127605770779
ULMM,FIR,,0.0,Murmansk FIR,1b477fce,0.2007897541259519,0.2584554634802114
ULWW,FIR,,0.0,Vologda FIR,4bfdb25f,0.7063235985818352,0.3839498608646143
UMKK,FIR,,0.0,Kaliningrad FIR,5d412736,0.127420603465311,0.0978094551405625
UMMV,FIR,,0.0,Minsk FIR,ef1aa3ac,0.8796053953645881,0.4764448728250025
UNKL,FIR,,0.0,Krasnoyarsk FIR,682b075c,2.193213407781851,1.3116080140476192
UNNT,FIR,,0.0,Novosibirsk FIR,a2c14458,2.324719604847586,1.5513826287582098
URRV,FIR,,0.0,Rostov-Na-Donu FIR,1c6f3b9b,1.4244728096870345,1.0347262372462782
USSV,FIR,,0.0,Yekaterinburg FIR,6144d537,2.569914122049223,1.5799343772406174
USTV,FIR,,0.0,Tyumen FIR,29b1969c,2.297543515332325,1.779263202119344
UTAA,FIR,,0.0,Ashgabat FIR,1a45ff3d,0.025473444530246,0.0354566954082527
UTAK,FIR,,0.0,Turkmenbashi FIR,70400f31,0.0391462334827712,0.1178118772911922
UTAT,FIR,,0.0,Dashoguz FIR,82e5b8c8,0.0205485672367708,0.063597738233088
UTAV,FIR,,0.0,Turkmenabat FIR,b1dcd629,0.0238479152866878,0.0303270147300585
UTDD,FIR,,0.0,Dushanbe FIR,adc1fcce,0.0220577821450623,0.0433388742640616
UTSD,FIR,,0.0,Samarkand FIR,9601720c,0.0265759491973218,0.0498970919150222
UTTR,FIR,,0.0,Tashkent FIR,f860df25,0.1063373423615364,0.2649779359347182
UUWV,FIR,,0.0,Moscow FIR,634b906a,3.302104186594554,1.1314904003579282
UUYY,FIR,,0.0,Syktyvkar FIR,8c4dda53,0.977500578684086,0.6812049711405892
UWWW,FIR,,0.0,Samara FIR,ac101a8e,2.2563523935954657,1.2281683245407384
VABF,FIR,,0.0,Mumbai FIR,16bcb5ea,0.4151133848468105,0.6195142607500376
VCCF,FIR,,0.0,Colombo FIR,bfd9241e,0.3761308092309217,0.416666409836174
VDPF,FIR,,0.0,Phnom Penh FIR,e4b81a71,0.047085110984822,0.0723620129118922
